"NUMBER","INETSHORTD"
"OCAS8               ","Experience the natural power of Castor Oil, a versatile and deeply nourishing oil that has been used for centuries for its numerous health and beauty benefits. Cold-pressed from the seeds of the castor bean plant, this oil is rich in essential fatty acids, antioxidants, and vitamin E, making it perfect for a variety of uses. 8oz also available <A href=""https://www.azuregreen.net/1-Gallon-Castor-carrier-oil/productinfo/OCAS128/"">1 gallon size</A>"
"OCOMMV              ","To aid in all matters of the personal power. Especially its control over others. 4 Dram square bottle."
"OCOMTMF             ","This quality oil blend has been formulated for calling lovers, items, wealth, or any desire or intent. 2 dram for external use only.  Made in USA."
"OCOMTV              ","Economical purpose oils that have stood the test of time. Many of our customers simply demand these old formulations; at this price you can't go wrong in trying a few of these long-standing oils."
"OCONTV              ","To control a wayward lover."
"OD10YE              ","Burn your favorite oil while watching the flame within dance out into your environment. Solid shiny yellow ceramic oil diffuser. Size is approximate."
"OD300               ","A solid soapstone burner completed with pentagram etchings along the sides. The matte black finish makes the designs pop. 3"" Square"
"OD301               ","A solid soapstone burner completed with Hamsa Hand etching along the sides. The matte black finish makes the designs pop. 3"" Square
"
"ODOAV               ","Economical purpose oils that have stood the test of time. Many of our customers simply demand these old formulations; at this price you can't go wrong in trying a few of these long-standing oils."
"ODPG8               ","DPG is Dipropylene Glycol, a carrier and diluent for all things cosmetic and fragrance! Perfect for crafting incense, blending perfumes, and creating body oils, it helps enhance and stabilize your favorite scents. Whether you're a DIY enthusiast or a professional, DPG is essential for achieving that perfect aroma. Color and ordorless"
"ODRABV              ","This dragons blood oil with fragrance is a welcome addition for calling dragon energy, protection, courage. It can even be worn as a personal cologne scent.  "
"ODRAF               ","A powerful anointing oil intended to be used to empower your ritual magic, Dragon Blood Oil can be use to empower all magic, and is especially known for aiding protection magic.   Made in USA."
"OE16ABRM            ","Abra Melin oil bends others to your will and leads them to obey your wishes."
"OE16ALLP            ","Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. This all purpose blessing oil can be used to bless a person, increase potency of spells and objects. Wearing or bathing in this oil may help with protection and good vibes."
"OE16ALM             ","Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Blended from pure oils this almond oil can be used in a variety of ways. Almond oil is said to be an aid in good fortune, money, energy, when used on the forehead can help you gain wisdom, and prosperity."
"OE16AMB             ","Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Amber oil may aid in calming the mind, increasing circulation, pain, and stimulating the libido."
"OE16AMBG            ","Ambergris oil plays upon the nature of subconscious, and is greatly useful by itself, or in spells and rituals that work with those senses."
"OE16ANO             ","Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Some uses maybe for healing, to honor someone, blessing, and protection."
"OE16APH             ","Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Aphrodisia oil is said to create an ultimate intimate experience, and is great for romantic massages, and opening the heart."
